CODE_OA;NUM_OA;LIAISON;SENS;PR_OA;ABS_DEB;NUM_EXPLOIT;NOM_USAGE;FAMILLE;TYPE_OUVRAGE;MATERIAUX;DATE_MS;NBRE_TABLIERS;NBRE_TRAVEE;GABARIT;LONGUEUR;LARGEUR;SECT_COURANTE;IQOA;NOTE_URGENCE
207;A2_PS_30.5;2;3;30 +0456;30496;PS 6;PS 6;PS;PIDP PSDP (Dalle Précontrainte);Béton précontraint;;1;2;0;48;10;10;2;36
208;A2_PAS_32.6;2;3;32 +0600;32643;PAS1;PAS1;PAS;;;;0;0;0;0;0;NON;1;3
209;A2_PP_32.1;2;3;32 +0984;33027;PP 5;PP 5;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.94;38;38;2;6
210;A2_PV_34.1;2;3;34 +0078;34112;PV 3;PV 3;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.46;35.04;35.04;2;0
211;A2_PV_35.5;2;3;35 +0524;35562;PV 4;PV 4;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.81;33.49;33.49;2;0
212;A2_PV_36.1;2;3;36 +0957;36996;PV 5;PV 5;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.21;33.62;33.62;2;3
213;A2_PP_38.5;2;3;38 +0473;38506;PP 6;PP 6;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;5.19;33.19;33.19;1;0
214;A2_PV_39.9;2;3;39 +0893;39925;PV 6;PV 6;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.22;33.5;33.5;2;3
215;A2_PV_41.7;2;3;41 +0725;41760;PV 7;PV 7;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.2;33.5;33.5;2;8
216;A2_PI_42.5;2;3;42 +0477;42516;PI 1;PI 1;PI;POD (Portique Ouvert Double);Béton armé;;1;2;0;16.65;42.5;42.5;2;14
217;A2_PS_43.2;2;3;43 +0208;43245;PS 7;PS 7;PS;PIDP PSDP (Dalle Précontrainte);Béton précontraint;;1;2;0;48.02;10;10;2;22
218;A2_PV_45.5;2;3;45 +0528;45573;PV 8;PV 8;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.63;33.5;33.5;2;30
219;A2_PS_46.3;2;3;46 +0318;46366;PS 8;PS 8;PS;PIDP PSDP (Dalle Précontrainte);Béton précontraint;;1;4;0;73.02;6;6;2;25
220;A2_PAS_48.1;2;3;48 +0100;48143;PAS2;PAS2;PAS;;;;0;0;0;0;0;NON;1;0
221;A2_PI_49.0;2;3;49 +0002;49050;PI 2;PI 2;PI;PIPO (Portique Ouvert);Béton armé;;1;1;0;11.79;38.66;38.66;2;22
222;A2_PV_53.9;2;3;53 +0863;53900;PV 9;PV 9;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.3;33.5;33.5;2;11
223;A2_PS_55.6;2;3;55 +0595;55638;PS 9;PS 9;PS;PIDP PSDP (Dalle Précontrainte);Béton précontraint;;1;2;0;48.04;10;10;2;9
224;A2_PV_59.0;2;3;59 +0048;59084;PV 10;PV 10;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.2;33.5;33.5;2;3
225;A2_PP_61.4;2;3;61 +0358;61389;PP 7;PP 7;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;3;33.5;33.5;2;11
226;A2_PV_62.5;2;3;62 +0513;62555;PV 11;PV 11;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.2;33.5;33.5;2;3
227;A2_PP_63.3;2;3;63 +0276;63309;PP 8;PP 8;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;3.08;33.5;33.5;1;0
228;A2_PV_65.7;2;3;65 +0686;65711;PV 12;PV 12;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.3;41.28;41.28;2 S;35
229;A2_PS_67.2;2;3;67 +0227;67256;PS 10;PS 10;PS;PIDP PSDP (Dalle Précontrainte);Béton précontraint;;1;4;0;75;10;10;2;11
230;A2_PI_68.1;2;3;68 +0064;68111;PI 1;PI 3;PI;POD (Portique Ouvert Double);Béton armé;;1;2;0;19.23;41.05;41.05;2;3
231;A2_PV_68.9;2;3;68 +0938;68985;PV 01;PV 13;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.49;46.34;46.34;2;11
232;A2_PS_69.6;2;3;69 +0637;69822;PS 01;PS 11;PS;PIDP PSDP (Dalle Précontrainte);Béton précontraint;;1;4;0;65;10;10;2;32
233;A2_PP_70.3;2;3;70 +0314;70502;PP 01;PP 9;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;3;49.5;49.5;2;6
234;A2_PV_72.0;2;3;72 +0024;72214;PV 02;PV 14;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.2;36;36;2;11
235;A2_PV_74.1;2;3;74 +0134;74306;PV 03;PV 15;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.2;29.97;29.97;1;8
236;A2_PS_80.7;2;3;80 +0704;80868;PS 02;PS 12;PS;PIDP PSDP (Dalle Précontrainte);Béton précontraint;;1;3;0;51;6;6;2 S;51
237;A2_PS_82.8;2;3;82 +0836;82959;PS 03;PS 13;PS;PIDP PSDP (Dalle Précontrainte);Béton précontraint;;1;4;0;51;8;8;2 S;27
