CD_PT_SING_INF__CODE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;NOM_USAGE;LIBELLE;COMMENTAIRE
PV;3;3;118260;PV22;;
PV;3;3;119400;PV23;;
PV;3;3;120250;PV24;;
PV;3;3;121260;PV25;;
PV;3;3;122304;PV26;;
PV;3;3;124360;PV27;;
PS;3;3;127750;PS 46;Skhour Rhamna;
GARE;3;3;127750;GARE - SE;Gare de péage sur échangeur de Skhour Rhamna;
ECH;3;3;127750;A7-7;Skhour Rhamna;
PS;3;3;127900;PS 47;Piste;
PI;3;3;129540;PI 16;CT6118;
PV;3;3;131132;PV28;;
PV;3;3;133372;PV29;;
PS;3;3;134850;PS 48;CT6122;
PV;3;3;136916;PV30;;
PP;3;3;137430;PP5;Passage piéton N°5;
PS;3;3;138704;PS 49;Piste;
PV;3;3;140244;PV31;;
PS;3;3;141580;PS 50;Piste;
PV;3;3;142930;PV32;;
PV;3;3;144493;PV33;;
PV;3;3;146460;PV34;;
PS;3;3;148520;PS 51;Piste;
PV;3;3;150600;PV35;;
PI;3;3;152452;PI 17;Piste;
PP;3;3;153370;PP6;Passage piéton N°6;
PV;3;3;184593;PV42;;
PS;3;3;186055;PS 63;RP2002;
PS;3;3;187253;PS 64;Piste;
PS;3;3;190313;PS 65;Piste;
PS;3;3;192093;PS 66;Piste;
PP;3;3;193273;PP7;Passage piéton N°7;
AIRE;3;3;194000;A7-R5;Aire de Sidi Bouathmane;
PP;3;3;194116;PP8;Passage piéton N°8;
PS;3;3;194793;PS 67;Piste;
PS;3;3;196843;PS 69;RP2002;
PP;3;3;196903;PP9;Passage piéton N°9;
PS;3;3;198800;PS 70;Bifurcation avec l’autoroute Marrakech - Agadir;
ECH;3;3;198800;A7-9;Marrakech;
PS;3;3;199335;PS 1;Passage supérieur sur PISTE;
PP;3;3;200370;PP1;Passage piéton N°1;
PV;3;3;203874;PV1;;
PS;3;3;205453;PS 2;Passage supérieur sur PISTE;
