CD_PT_SING_INF__CODE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;NOM_USAGE;LIBELLE;COMMENTAIRE
RAU;A39;2;13050;2-13+2-E;;
ACCSER;A36;1;44350;;;
RAU;A36;1;162140;54 13;;
RAU;A6;1;175233;14 63;;
ACCSER;A6;2;229060;;;
RAU;A39;1;55098;57 01;;
ACCSER;A6;1;374800;;;
RAU;A6;1;376125;41 23;;
RAU;A5;1;50880;15 43;;
RAU;A5;2;6640;15 90;;
RAU;A6;1;222635;31 45;;
ACCSER;A40;1;107137;;;
RAU;A432;1;22700;61;;
RAU;A77;1;14195;17 13;;
RAU;A5;1;184479;;;
RAU;A71;2;230337;21 22;;
ACCSER;A404;2;4160;AS44;;
RAU;A39;2;142841;44 126;;
RAU;A46;2;12060;42 74;;
RAU;A46;2;13980;42 76;;
RAU;A46;2;16040;42 78;;
RAU;A46;2;17090;42 80;;
RAU;A46;2;19110;42 82;;
RAU;A36;1;52365;52 03;;
RAU;A19;2;26900;12.78;;
RAU;A39;2;200;2-0+3-E;;
ACCSER;A432;1;29210;;;
RAU;A36;1;60361;52 13;;
RAU;A5;1;195840;;;
RAU;A5;1;56400;15 37;;
ACCSER;A6;1;311320;;;
RAU;A5;1;171720;;;
RAU;A5;1;180824;;;
ACCSER;A5;1;181205;;;
RAU;A31;2;227510;;;
ACCSER;A5;1;55680;;;
RAU;A6;2;441500;42 48;;
RAU;A5;1;46980;15 47;;
ACCSER;A5;1;114391;;;
RAU;A6;2;357520;41 04;;
RAU;A6;2;44350;11 12;;
RAU;A6;2;45503;11 14;;
RAU;A71;2;367450;24 18;;
RAU;A6;2;151862;14 32;;
ACCSER;A6;2;58000;;;
RAU;A40;1;134120;109;;
RAU;A40;2;166180;4429;;
RAU;A40;2;169850;4435;;
ACCSER;A36;2;157120;;;
RAU;A77;2;4620;11 66;;
ACCSER;A71;2;221786;;;
RAU;A5;2;221320;;;
RAU;A432;2;7464;0747-2;;
RAU;A432;1;7472;0747-1;;
RAU;A39;1;62998;57 09;;
RAU;A71;2;260309;22 10;;
ACCSER;A42;1;42300;;;
RAU;A36;1;174960;54 29;;
ACCSER;A71;1;326617;;;
RAU;A5;1;181606;;;
RAU;A5;2;79603;15 10;;
RAU;A36;1;197010;33 51;;
ACCSER;A6;1;121380;;;
RAU;A5;1;77800;15 11;;
ACCSER;A40;1;167500;;;
RAU;A42;1;35800;43 33;;
RAU;A39;1;2000;1-2+0-E;;
RAU;A40;2;195500;4467;;
RAU;A40;2;109150;261;;
RAU;A40;2;120655;227;;
RAU;A5;2;52650;15 42;;
RAU;A5;1;197890;;;
ACCSER;A71;1;375608;;;
RAU;A5;2;97203;;;
RAU;A71;2;256364;22 06;;
RAU;A71;2;258269;22 08;;
RAU;A5;2;212630;;;
ACCSER;A36;2;64640;;;
ACCSER;A36;1;200800;;;
RAU;A5;1;191840;;;
RAU;A5;2;148052;;;
ACCSER;A36;2;176700;;;
ACCSER;A6;1;58000;;;
ACCSER;A36;1;166400;;;
RAU;A36;1;178038;54 33;;
RAU;A6;1;189760;31 09;;
RAU;A40;1;107600;168;;
RAU;A71;2;306277;23 12;;
ACCSER;A36;1;32400;;;
ACCSER;A71;1;273800;;;
RAU;A40;2;134840;208B;;
RAU;A40;1;121350;124;;
RAU;A40;1;121525;123;;
ACCSER;A77;2;38580;;;
ACCSER;A36;1;15240;;;
RAU;A5;1;90133;;;
RAU;A31;2;113080;;;
RAU;A6;2;279810;32 52;;
ACCSER;A6;2;268540;;;
RAU;A40;2;199840;4471;;
RAU;A26;2;389722;;;
RAU;A6;1;47149;11 15;;
ACCSER;A31;2;25857;;;
RAU;A36;2;170214;54 24;;
ACCSER;A5;2;105297;;;
RAU;A5;1;54270;15 39;;
RAU;A6;2;413400;42 12;;
ACCSER;A40;1;115348;;;
RAU;A19;1;15590;12.63;;
RAU;A40;2;140480;204;;
RAU;A39;1;128591;44 111;;
ACCSER;A5;2;159060;;;
RAU;A40;2;191900;4463;;
RAU;A6;2;395000;41 44;;
RAU;A36;2;44770;51 48;;
RAU;A42;2;38200;43 36;;
RAU;A31;2;60651;2-60+8;;
RAU;A77;2;85440;18048;;
RAU;A31;2;188430;;;
RAU;A36;1;103663;52 71;;
RAU;A6;1;220315;31 41;;
RAU;A5;1;70478;15 19;;
RAU;A5;1;52650;15 41;;
ACCSER;A404;1;4160;AS45;;
RAU;A404;1;4804;190;;
ACCSER;A31;2;203842;;;
ACCSER;A42;1;14380;;;
RAU;A42;1;14550;43 11;;
RAU;A42;1;16300;43 13 ;;
RAU;A36;2;54436;52 06;;
RAU;A36;1;198810;33 53;;
RAU;A40;1;193630;4466;;
RAU;A6;1;139302;14 13;;
RAU;A31;1;123800;;;
RAU;A5;1;75748;15 13;;
RAU;A40;2;121300;224;;
RAU;A40;2;121485;223;;
RAU;A6;1;79900;11 51;;
RAU;A71;2;323419;23 30;;
RAU;A71;1;329389;23 35;;
RAU;A39;2;117011;57 68;;
RAU;A71;1;321664;23 27;;
RAU;A5A;1;7230;TAO.7A;;
ACCSER;A5;2;47610;;;
RAU;A36;1;156314;54 07;;
RAU;A36;1;187415;54 43;;
RAU;A36;1;189395;54 45;;
RAU;A40;2;108030;266;;
RAU;A40;2;108220;265;;
RAU;A5;2;135867;;;
ACCSER;A36;1;164020;;;
ACCSER;A71;1;322667;;;
RAU;A36;2;111852;53 08;;
RAU;A432;2;19662;58;;
RAU;A77;1;62260;18021;;
RAU;A6;1;155010;14 35;;
