CD_SERVICE_INF__SERVICE;LIAISON_INF__LIAISON;CD_AIRE_INF__TYPE;CHAUSSEE_INF__SENS;AIRE_INF__ABS_DEB
PRODUITS_REGIONAUX;A31;AS;1;232000
TELEPHONE;A31;AS;1;25700
TELEPHONE;A31;AS;1;102900
TELEPHONE;A31;AS;1;137700
TELEPHONE;A31;AS;1;182300
TELEPHONE;A31;AS;1;232000
VIDANGE;A31;AS;1;102900
BRUMISATEUR;A31;AS;2;56100
BRUMISATEUR;A31;AS;2;137700
BRUMISATEUR;A31;AS;2;182300
DAB;A31;AS;2;25600
DAB;A31;AS;2;137700
DAB;A31;AS;2;182300
Information;A31;AS;2;232000
JEUX;A31;AS;2;25600
JEUX;A31;AS;2;56100
JEUX;A31;AS;2;102900
JEUX;A31;AS;2;137700
JEUX;A31;AS;2;182300
JEUX;A31;AS;2;232000
MOBILITE REDUITE;A31;AS;2;25600
MOBILITE REDUITE;A31;AS;2;56100
MOBILITE REDUITE;A31;AS;2;102900
MOBILITE REDUITE;A31;AS;2;137700
MOBILITE REDUITE;A31;AS;2;182300
MOBILITE REDUITE;A31;AS;2;232000
PARCOURS_DETENTE;A31;AS;2;137700
PIQUE_NIQUE;A31;AS;2;25600
PIQUE_NIQUE;A31;AS;2;56100
PIQUE_NIQUE;A31;AS;2;102900
PIQUE_NIQUE;A31;AS;2;137700
PIQUE_NIQUE;A31;AS;2;182300
PIQUE_NIQUE;A31;AS;2;232000
PRESSE;A31;AS;2;25600
PRODUITS_REGIONAUX;A31;AS;2;25600
PRODUITS_REGIONAUX;A31;AS;2;56100
PRODUITS_REGIONAUX;A31;AS;2;137700
STATION GONFLAGE;A31;AS;2;25600
STATION GONFLAGE;A31;AS;2;232000
SUPERETTE;A31;AS;2;25600
TABAC;A31;AS;2;25600
TELEPHONE;A31;AS;2;25600
TELEPHONE;A31;AS;2;56100
TELEPHONE;A31;AS;2;102900
TELEPHONE;A31;AS;2;137700
TELEPHONE;A31;AS;2;182300
TELEPHONE;A31;AS;2;232000
VIDANGE;A31;AS;2;56100
VIDANGE;A31;AS;2;232000
Vente Liber-t;A31;AS;2;25600
Vente Liber-t;A31;AS;2;56100
Vente Liber-t;A31;AS;2;182300
Vente Liber-t;A31;AS;2;232000
MOBILITE REDUITE;A31;Sortie;1;28000
MOBILITE REDUITE;A31;Sortie;1;100000
TELEPHONE;A31;Sortie;1;28000
TELEPHONE;A31;Sortie;1;100000
VIDANGE;A31;Sortie;1;28000
MOBILITE REDUITE;A31;Sortie;2;215000
TELEPHONE;A31;Sortie;2;215000
MOBILITE REDUITE;A311;PB;1;30800
TELEPHONE;A311;PB;1;30800
Vente Liber-t;A311;PB;1;30800
MOBILITE REDUITE;A311;PB;2;30800
TELEPHONE;A311;PB;2;30800
MOBILITE REDUITE;A6;AS;1;407800
MOBILITE REDUITE;A6;AS;1;435600
MOBILITE REDUITE;A6;AS;1;450089
OUI Shop;A6;AS;1;450089
PANORAMA;A6;AS;1;435600
PARCOURS_DETENTE;A6;AS;1;212900
PARCOURS_DETENTE;A6;AS;1;286400
PIQUE_NIQUE;A6;AS;1;29000
PIQUE_NIQUE;A6;AS;1;58000
PIQUE_NIQUE;A6;AS;1;74100
PIQUE_NIQUE;A6;AS;1;122900
PIQUE_NIQUE;A6;AS;1;167000
PIQUE_NIQUE;A6;AS;1;212900
PIQUE_NIQUE;A6;AS;1;255400
PIQUE_NIQUE;A6;AS;1;286400
PIQUE_NIQUE;A6;AS;1;311300
PIQUE_NIQUE;A6;AS;1;341700
PIQUE_NIQUE;A6;AS;1;374800
PIQUE_NIQUE;A6;AS;1;407800
PIQUE_NIQUE;A6;AS;1;435600
PIQUE_NIQUE;A6;AS;1;450089
PRESSE;A6;AS;1;255400
STATION GONFLAGE;A6;AS;1;74100
SUPERETTE;A6;AS;1;450089
TELEPHONE;A6;AS;1;29000
TELEPHONE;A6;AS;1;58000
TELEPHONE;A6;AS;1;74100
